singularIndefinite utrum,singularIndefinite neutrum,singularDefinite,plural
god,gott,goda,goda
stor,stort,stora,stora
liten,litet,lilla,små
grå,grått,gråa,gråa
gul,gult,gula,gula
vit,vitt,vita,vita
svart,svart,svarta,svarta
tråkig,tråkigt,tråkiga,tråkiga
rolig,roligt,roliga,roliga
kall,kallt,kalla,kalla
varm,varmt,varma,varma
kallblodig,kallblodigt,kallblodiga,kallblodiga
kort,kort,korta,korta
hög,högt,höga,höga
dålig,dåligt,dåliga,dåliga
sjuk,sjukt,sjuka,sjuka
hård,hårt,hårda,hårda
låg,lågt,låga,låga
lång,långt,långa,långa
tjock,tjockt,tjocka,tjocka
galen,galet,galna,galna
elak,elakt,elaka,elaka
håftig,håftigt,håftiga,håftiga
het,hett,heta,heta
färdig,färdigt,färdiga,färdiga
trög,trögt,tröga,tröga
fantastisk,fantastiskt,fantastiska,fantastiska
grym,grymt,grymma,grymma
blöt,blött,blöta,blöta
fräck,fräckt,fräcka,fräcka
frisk,friskt,friska,friska
akut,akut,akuta,akuta
tuff,tufft,tuffa,tuffa
suverän,suveränt,suveräna,suveräna
gullig,gulligt,gulliga,gulliga
jobbig,jobbigt,jobbiga,jobbiga
bra,bra,bra,bra
gammal,gammalt,gamla,gamla
blå,blått,blåa,blåa
ny,nytt,nya,nya
röd,rött,röda,röda
söt,sött,söta,söta
vacker,vackert,vackra,vackra
snäll,snällt,snälla,snälla
tunn,tunt,tunna,tunna
smutsig,smutsigt,smutsiga,smutsiga
ren,rent,rena,rena
smal,smalt,smala,smala
ljus,ljust,ljusa,ljusa
mörk,mörkt,mörka,mörka
prickig,prickigt,prickiga,prickiga
fräsch,fräscht,fräscha,fräscha
färgglad,färgglatt,färgglada,färgglada
mångfärgad,mångfärgat,mångfärgade,mångfärgade
ambitiös,ambitiöst,ambitiösa,ambitiösa
duktig,duktigt,duktiga,duktiga
godkänd,godkänt,godkända,godkända
lockig,lockigt,lockiga,lockiga
pratsam,pratsamt,pratsamma,pratsamma
besviken,besviket,besvikna,besvikna
tjatig,tjatigt,tjatiga,tjatiga
